source,source_course_id,source_course_name,canonical_course_id,canonical_course_name,match_method,confidence,review_status,notes
cbs_sports,The Renaissance Club,The Renaissance Club,course_e3e4b459fcde,"The Renaissance Club - North Berwick, Scotland",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Hurstbourne Country Club - Championship Course,Hurstbourne Country Club - Championship Course,course_6dc1a0dd104f,"Hurstbourne Country Club - Louisville, KY",manual_venue_location_review,medium,accepted,"Reviewed as the Hurstbourne championship course using Louisville, KY location."
cbs_sports,TPC Deere Run,TPC Deere Run,course_dffa95c17d15,"TPC Deere Run - Silvis, IL",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,TPC River Highlands,TPC River Highlands,course_8b59744add36,"TPC River Highlands - Cromwell, CT",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Shinnecock Hills Golf Club,Shinnecock Hills Golf Club,course_91ab0e816499,"Shinnecock Hills GC  - Southampton, NY",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,North Course,North Course,course_668837c92861,"TPC Toronto at Osprey Valley (North Course) - Caledon, ON",manual_venue_location_review,medium,accepted,"Generic name accepted only after review against CBS Caledon, ON location and the historical full venue name."
cbs_sports,Muirfield Village Golf Club,Muirfield Village Golf Club,course_42afa4ef2f38,"Muirfield Village Golf Club - Dublin, OH",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Colonial Country Club,Colonial Country Club,course_015fd3cd6c4a,"Colonial Country Club - Fort Worth, TX",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,TPC Craig Ranch,TPC Craig Ranch,course_8280c4d8e9e0,"TPC Craig Ranch - McKinney, TX",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Aronimink Golf Club,Aronimink Golf Club,course_e33140555a41,"Aronimink GC - Newtown Square, PA",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Dunes Golf and Beach Club,Dunes Golf and Beach Club,course_faedd88ee736,"Dunes Golf & Beach Club - Myrtle Beach, SC",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Quail Hollow Club,Quail Hollow Club,course_253d35d16099,"Quail Hollow Club - Charlotte, NC",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
